,中国城市及领土,其他国家地区,中国领导人,美国领导人,其他国家领导人,国际机构,气候环境,国际贸易,上升增强成功,下降减弱失败,对抗蔑视憎恶,支持认可喜好,反对谴责批评,担忧,合作联盟,取消结束,制裁限制监控,问题争议,侵害侵犯,认知,政治人权,军事,访问磋商,正面修饰,中性修饰,负面修饰,特质属性,人物,经济金融商业,国际关系与外交,媒体,能源,政府政策,灾害犯罪伤亡,交通运输,社会生活,文化,工程项目,法律,时间
中国城市及领土,568,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
其他国家地区,93,1690,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国领导人,5,7,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
美国领导人,47,113,2,425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
其他国家领导人,14,15,0,4,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
国际机构,2,25,2,4,3,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气候环境,27,51,9,11,8,4,366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
国际贸易,66,305,7,94,15,20,107,1118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上升增强成功,44,170,1,25,12,4,41,116,843,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
下降减弱失败,39,74,4,10,5,4,29,74,61,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对抗蔑视憎恶,67,192,6,44,6,15,34,117,88,45,717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
支持认可喜好,18,77,3,23,3,7,13,56,41,15,27,240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
反对谴责批评,42,75,2,18,6,10,14,95,22,8,59,10,233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
担忧,5,18,1,6,1,0,1,16,16,12,15,1,0,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合作联盟,10,59,1,9,4,1,9,141,24,12,9,12,5,2,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
取消结束,27,84,3,27,6,6,9,57,33,16,47,9,5,1,7,359,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制裁限制监控,27,131,3,17,5,13,17,82,36,35,44,18,27,9,6,33,439,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
问题争议,11,76,1,21,6,5,14,76,22,16,59,12,15,2,1,13,12,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侵害侵犯,13,47,0,7,1,4,15,33,26,13,46,12,8,1,6,8,12,5,230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
认知,12,34,0,11,4,0,4,14,20,21,23,5,2,2,2,6,13,7,3,181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
政治人权,61,153,4,34,15,5,24,129,127,61,98,39,116,7,14,21,91,19,21,13,666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
军事,84,382,9,64,15,19,105,387,138,87,163,50,105,24,25,75,87,94,39,28,197,1306,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
访问磋商,190,618,17,160,53,32,192,646,377,294,315,141,79,35,76,132,176,83,151,101,317,559,2736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
正面修饰,47,198,8,44,20,11,60,185,150,61,86,31,20,13,28,66,57,35,40,34,193,140,466,963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中性修饰,48,176,3,35,10,3,48,117,83,62,89,16,17,13,16,43,52,18,28,19,68,193,346,94,840,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
负面修饰,7,33,1,12,2,2,7,69,54,15,32,5,5,4,1,7,16,56,7,4,52,73,68,28,29,176,-,-,-,-,-,-,-,-,-,-,-,-,-,-
特质属性,8,29,1,8,4,2,7,24,34,7,19,5,3,5,0,8,8,5,3,7,16,26,80,34,14,2,189,-,-,-,-,-,-,-,-,-,-,-,-,-
人物,169,228,6,53,75,10,58,136,127,85,91,29,30,10,19,52,58,33,28,35,134,192,400,231,168,38,26,1110,-,-,-,-,-,-,-,-,-,-,-,-
经济金融商业,62,270,16,48,11,13,110,415,229,182,129,57,41,27,26,62,98,75,43,23,200,288,688,257,201,76,52,180,1356,-,-,-,-,-,-,-,-,-,-,-
国际关系与外交,31,217,3,39,5,6,18,287,56,22,50,27,14,6,138,29,18,20,11,7,117,165,249,83,52,6,26,52,147,493,-,-,-,-,-,-,-,-,-,-
媒体,6,31,0,10,1,0,4,17,13,3,17,6,10,0,3,2,15,1,2,0,16,22,44,11,8,7,0,12,17,10,105,-,-,-,-,-,-,-,-,-
能源,6,61,1,0,2,2,16,121,18,14,16,7,6,1,8,6,12,7,4,3,17,41,82,24,19,4,4,18,49,80,2,173,-,-,-,-,-,-,-,-
政府政策,31,71,5,23,4,4,66,184,88,39,80,23,19,6,4,21,65,15,15,10,191,95,278,118,50,54,9,96,226,43,10,11,458,-,-,-,-,-,-,-
灾害犯罪伤亡,27,111,10,28,5,6,43,76,52,88,56,11,24,9,6,26,42,40,41,11,59,375,259,65,97,14,10,114,114,21,8,16,35,644,-,-,-,-,-,-
交通运输,22,82,4,15,12,3,61,60,39,28,31,10,9,5,6,19,47,15,8,19,55,131,177,53,59,12,19,45,104,36,4,8,41,35,441,-,-,-,-,-
社会生活,48,162,4,39,7,7,54,136,114,71,70,22,21,11,16,51,73,66,49,26,112,265,351,137,101,67,27,116,205,42,28,20,69,163,86,976,-,-,-,-
文化,26,53,6,10,3,1,18,46,29,33,45,13,10,3,5,18,24,7,13,8,30,77,155,49,55,10,6,87,54,17,7,5,58,40,15,67,418,-,-,-
工程项目,5,18,0,0,0,0,7,11,5,12,7,4,1,3,3,4,6,5,1,3,9,15,66,16,17,1,2,17,15,1,1,3,11,8,9,12,4,100,-,-
法律,17,47,1,5,1,2,13,37,21,13,27,6,12,5,8,7,20,10,9,6,42,48,100,51,32,8,5,37,40,13,4,4,28,35,16,42,16,3,271,-
时间,29,54,5,11,3,2,19,52,47,27,39,9,9,5,3,20,31,10,19,13,35,83,129,54,107,13,10,59,79,23,3,10,23,46,11,40,34,5,15,347
