,中国城市及领土,其他国家地区,中国领导人,美国领导人,其他国家领导人,国际机构,气候环境,国际贸易,上升增强成功,下降减弱失败,对抗蔑视憎恶,支持认可喜好,反对谴责批评,担忧,合作联盟,取消结束,制裁限制监控,问题争议,侵害侵犯,认知,政治人权,军事,访问磋商,正面修饰,中性修饰,负面修饰,特质属性,人物,经济金融商业,国际关系与外交,媒体,能源,政府政策,灾害犯罪伤亡,交通运输,社会生活,文化,工程项目,法律,时间
中国城市及领土,164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
其他国家地区,9,184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国领导人,0,1,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
美国领导人,2,2,0,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
其他国家领导人,0,3,0,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
国际机构,0,3,0,0,0,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气候环境,3,5,1,1,0,0,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
国际贸易,4,18,1,3,0,0,2,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上升增强成功,5,6,1,0,0,0,0,4,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
下降减弱失败,0,1,0,1,0,0,1,1,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对抗蔑视憎恶,12,6,0,1,0,3,1,2,3,1,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
支持认可喜好,3,2,0,0,1,0,0,0,1,0,2,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
